                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4622,                 2.4482,                 2.7505,                 1.4265,                0.38116,                0.40893,                0.34111,                0.15868,                0.37786,                0.40474,                  0.336,                 0.1622,                 1.6583,                 2.3169,                 2.2527,                 1.5984,             0.00047554,             0.00047554,             0.00047554
                      1,                 1.4673,                 2.2144,                 1.8959,                  1.406,                0.30137,                0.37523,                 0.2874,                0.14366,                0.30879,                0.37979,                0.28914,                0.14222,                 1.6077,                 2.3022,                 1.9545,                 1.5554,             0.00092832,             0.00092832,             0.00092832
                      2,                 1.4458,                 2.1874,                 1.7027,                 1.3973,                0.49781,                0.38329,                 0.3981,                 0.2043,                0.51518,                0.39465,                0.40935,                0.21512,                   1.59,                 2.1665,                 1.7337,                 1.5031,              0.0013575,              0.0013575,              0.0013575
                      3,                 1.4343,                 2.1306,                 1.5995,                 1.3901,                0.45506,                 0.4973,                0.45319,                0.22778,                0.42837,                0.47935,                0.43689,                0.22933,                 1.6299,                 2.1385,                 1.6639,                 1.5191,              0.0013229,              0.0013229,              0.0013229
                      4,                 1.3753,                 2.0715,                 1.5279,                 1.3605,                0.48163,                0.46198,                0.44377,                0.23855,                 0.5934,                0.39666,                0.42781,                0.23223,                 1.4814,                 1.9712,                 1.5596,                 1.4245,              0.0013229,              0.0013229,              0.0013229
                      5,                  1.342,                 2.0148,                 1.4562,                 1.3374,                0.45572,                0.54586,                0.47162,                0.25922,                0.45607,                0.54696,                0.46609,                0.25739,                 1.4475,                 1.9291,                 1.4936,                 1.4043,              0.0012875,              0.0012875,              0.0012875
                      6,                 1.3335,                 1.9847,                 1.4204,                 1.3235,                0.42042,                0.57774,                0.48991,                0.27413,                0.41597,                0.57408,                0.48324,                0.26694,                 1.4011,                 1.9189,                 1.5187,                 1.3781,              0.0012522,              0.0012522,              0.0012522
                      7,                 1.2993,                 1.9175,                 1.3515,                 1.3065,                0.47681,                0.51071,                0.49842,                0.28118,                0.48179,                0.50542,                 0.4918,                0.28017,                  1.405,                 1.9515,                 1.4179,                 1.3864,              0.0012168,              0.0012168,              0.0012168
                      8,                 1.2682,                   1.91,                 1.3201,                 1.2863,                0.49593,                0.60577,                0.53172,                0.30876,                0.48385,                0.56786,                0.51619,                0.29612,                 1.3479,                 1.7977,                 1.2913,                 1.3423,              0.0011814,              0.0011814,              0.0011814
                      9,                 1.2699,                 1.8736,                  1.297,                  1.276,                0.53129,                0.52394,                0.54055,                0.30297,                0.50118,                0.51679,                0.52068,                0.29208,                 1.3715,                 1.8499,                 1.3041,                 1.3552,              0.0011461,              0.0011461,              0.0011461
                     10,                 1.2433,                 1.8169,                 1.2508,                 1.2546,                0.49722,                0.56404,                0.53791,                0.32209,                0.49932,                0.56329,                 0.5241,                0.31109,                  1.343,                 1.7421,                 1.2983,                 1.3179,              0.0011107,              0.0011107,              0.0011107
                     11,                 1.2375,                 1.8171,                 1.2244,                 1.2475,                0.49953,                0.58697,                0.56052,                0.32571,                0.51169,                0.59736,                0.55717,                0.32354,                 1.3856,                 1.7675,                  1.304,                  1.356,              0.0010753,              0.0010753,              0.0010753
                     12,                 1.2162,                 1.8126,                 1.1991,                 1.2393,                0.48054,                0.59783,                0.54726,                0.32981,                0.47211,                0.59138,                0.53386,                0.32326,                 1.3271,                 1.7461,                 1.2459,                 1.3241,                0.00104,                0.00104,                0.00104
                     13,                 1.2144,                 1.7844,                 1.1814,                 1.2272,                0.53501,                0.57735,                0.56425,                0.34507,                0.52227,                0.56303,                0.54684,                0.32415,                  1.324,                 1.7325,                  1.221,                 1.3118,              0.0010046,              0.0010046,              0.0010046
                     14,                 1.2003,                 1.7766,                 1.1533,                 1.2241,                0.49166,                0.64684,                0.57047,                0.34742,                0.49166,                0.62124,                0.55977,                0.33176,                 1.3188,                 1.7478,                  1.235,                 1.3068,             0.00096922,             0.00096922,             0.00096922
                     15,                 1.1905,                 1.7346,                 1.1292,                 1.2155,                 0.5011,                0.58446,                0.55674,                0.34042,                0.48025,                0.57577,                0.53873,                0.32731,                 1.3287,                 1.7978,                 1.2394,                 1.3412,             0.00093385,             0.00093385,             0.00093385
                     16,                  1.169,                 1.7221,                 1.1158,                 1.2027,                0.47068,                0.61224,                0.55967,                0.34706,                0.46357,                0.60985,                0.54678,                0.32346,                 1.2999,                 1.7372,                 1.2211,                 1.2955,             0.00089848,             0.00089848,             0.00089848
                     17,                  1.159,                 1.6996,                 1.0815,                 1.1935,                0.52184,                 0.6208,                0.59121,                0.35944,                0.52331,                0.60551,                0.56508,                0.33083,                 1.3218,                 1.7493,                  1.153,                 1.3144,             0.00086312,             0.00086312,             0.00086312
                     18,                 1.1416,                 1.6844,                 1.0683,                 1.1888,                0.52398,                0.62043,                0.58972,                0.35155,                0.53546,                0.58676,                0.56818,                0.33441,                 1.3318,                 1.7967,                 1.1856,                 1.3287,             0.00082775,             0.00082775,             0.00082775
                     19,                 1.1269,                 1.6494,                 1.0301,                 1.1751,                0.54996,                0.62656,                 0.5915,                0.35399,                0.54796,                0.60671,                0.57189,                  0.341,                 1.3129,                 1.7777,                 1.1884,                 1.3237,             0.00079238,             0.00079238,             0.00079238
                     20,                  1.109,                 1.6321,                 1.0227,                 1.1635,                0.50015,                0.61159,                0.58181,                0.36074,                0.50295,                 0.6161,                 0.5638,                0.33122,                 1.3096,                 1.7187,                 1.2195,                 1.3097,             0.00075701,             0.00075701,             0.00075701
                     21,                    1.1,                 1.6244,                  1.002,                 1.1586,                0.57028,                0.63203,                0.60196,                0.36038,                 0.5423,                0.61255,                0.57191,                 0.3413,                 1.3151,                 1.7552,                 1.1679,                 1.3241,             0.00072164,             0.00072164,             0.00072164
                     22,                 1.1064,                 1.6364,                0.98259,                 1.1568,                 0.5644,                0.63462,                0.60101,                 0.3725,                0.56631,                 0.5902,                0.57874,                0.35235,                 1.3017,                 1.7415,                 1.1664,                 1.3087,             0.00068628,             0.00068628,             0.00068628
                     23,                 1.0904,                 1.6273,                0.97516,                 1.1472,                0.56968,                0.60381,                 0.6063,                0.37147,                0.54341,                0.58376,                0.57868,                0.34954,                  1.304,                 1.7446,                 1.1322,                 1.2911,             0.00065091,             0.00065091,             0.00065091
                     24,                 1.0778,                 1.6005,                0.94331,                 1.1461,                0.60872,                0.59225,                0.59663,                0.37393,                0.58916,                0.57417,                0.57713,                0.35839,                 1.3136,                 1.7831,                   1.16,                 1.3292,             0.00061554,             0.00061554,             0.00061554
                     25,                 1.0728,                 1.5797,                0.92423,                  1.132,                0.55326,                0.63738,                0.60328,                0.36925,                0.54079,                0.60729,                0.57781,                0.34076,                 1.3168,                 1.7712,                 1.1473,                 1.3202,             0.00058017,             0.00058017,             0.00058017
                     26,                 1.0648,                 1.5655,                0.91886,                 1.1311,                0.54161,                0.64549,                0.60776,                0.38177,                0.56767,                0.61653,                0.59378,                 0.3577,                 1.2836,                 1.8133,                 1.0877,                 1.3099,             0.00054481,             0.00054481,             0.00054481
                     27,                  1.053,                 1.5365,                0.89532,                 1.1293,                0.59889,                0.63326,                0.62674,                0.38951,                0.60768,                0.60343,                0.60583,                0.36289,                 1.2997,                 1.8101,                  1.141,                 1.3253,             0.00050944,             0.00050944,             0.00050944
                     28,                 1.0413,                 1.5124,                0.88388,                 1.1205,                0.51912,                 0.6393,                0.60294,                0.37576,                0.51516,                0.61825,                0.58441,                0.34827,                 1.2771,                 1.7509,                 1.1388,                 1.3123,             0.00047407,             0.00047407,             0.00047407
                     29,                 1.0236,                 1.5044,                0.85452,                 1.1039,                0.61857,                0.62245,                  0.602,                0.38658,                  0.605,                 0.5926,                0.58352,                0.35947,                 1.2773,                 1.7331,                 1.1271,                 1.3095,              0.0004387,              0.0004387,              0.0004387
                     30,                 1.0129,                 1.5042,                0.83697,                    1.1,                0.58006,                0.66617,                0.61819,                0.38808,                0.54749,                0.63145,                 0.5868,                0.35812,                 1.2756,                  1.818,                 1.0969,                 1.3172,             0.00040334,             0.00040334,             0.00040334
                     31,                 1.0077,                 1.4899,                0.83177,                 1.0907,                0.60485,                0.63079,                0.61486,                0.39093,                0.57551,                0.60488,                0.58948,                0.36598,                 1.2752,                   1.76,                 1.1072,                 1.3155,             0.00036797,             0.00036797,             0.00036797
                     32,                 1.0061,                 1.4911,                0.82756,                 1.0988,                0.59418,                0.65454,                0.63837,                0.40412,                0.58995,                0.63512,                0.61894,                0.37622,                 1.2593,                  1.812,                 1.1094,                 1.3105,              0.0003326,              0.0003326,              0.0003326
                     33,                0.99313,                 1.4713,                0.80056,                 1.0873,                0.58704,                0.67263,                0.62355,                0.38941,                0.56188,                0.63812,                0.59819,                0.36115,                 1.2767,                 1.8312,                 1.1075,                  1.312,             0.00029723,             0.00029723,             0.00029723
                     34,                  0.984,                 1.4709,                  0.789,                 1.0813,                0.58874,                0.65943,                0.61672,                0.38442,                0.58522,                0.62473,                0.59289,                0.36095,                 1.2859,                 1.7984,                 1.1266,                 1.3149,             0.00026186,             0.00026186,             0.00026186
                     35,                0.97319,                 1.4618,                0.77994,                 1.0781,                0.58267,                0.68155,                0.61787,                0.39475,                0.56102,                0.65059,                0.60149,                0.36718,                  1.274,                 1.7914,                 1.1179,                 1.3078,              0.0002265,              0.0002265,              0.0002265
                     36,                0.97022,                 1.4604,                0.76177,                 1.0718,                0.58909,                0.66088,                0.61451,                0.39251,                0.57108,                0.63613,                0.60529,                0.36708,                 1.2759,                 1.7745,                  1.126,                  1.313,             0.00019113,             0.00019113,             0.00019113
                     37,                 0.9627,                 1.4323,                0.75472,                 1.0752,                0.57825,                0.66281,                0.62104,                0.39625,                0.56404,                0.63737,                0.60466,                0.37067,                 1.2617,                 1.7804,                 1.1119,                 1.3051,             0.00015576,             0.00015576,             0.00015576
                     38,                0.95712,                 1.4215,                0.74549,                 1.0682,                0.60781,                0.67178,                0.62838,                0.39796,                0.58277,                0.61485,                0.59695,                0.36446,                 1.2542,                 1.7944,                 1.1055,                 1.3069,             0.00012039,             0.00012039,             0.00012039
                     39,                0.95414,                 1.4383,                0.73961,                 1.0597,                0.59971,                0.65943,                0.62061,                  0.394,                0.56981,                0.61351,                0.59457,                 0.3667,                  1.256,                 1.7823,                 1.1103,                 1.3075,             8.5026e-05,             8.5026e-05,             8.5026e-05
